,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,-23.1203,-134.9692,79.47,70,96,12.64,light rain
1,Canon City,US,38.441,-105.2424,52.2,37,0,8.05,clear sky
2,Lerwick,GB,60.1545,-1.1494,42.8,87,87,10.29,overcast clouds
3,Iqaluit,CA,63.7506,-68.5145,-14.31,68,100,18.99,overcast clouds
4,Constitucion,CL,-35.3333,-72.4167,62.11,76,0,10.54,clear sky
5,Jian,CN,27.1172,114.9793,63.12,62,4,5.57,clear sky
6,Ipswich,GB,52.0592,1.1555,44.02,93,100,10.98,light rain
7,Hailar,CN,49.2,119.7,17.71,78,32,10.31,scattered clouds
8,Clyde River,CA,70.4692,-68.5914,7.03,85,75,27.63,light snow
9,Yellowknife,CA,62.456,-114.3525,-24.59,98,12,5.08,few clouds
10,Albany,US,42.6001,-73.9662,39.81,84,100,1.01,overcast clouds
11,Tessalit,ML,20.1986,1.0114,75.43,29,30,3.36,scattered clouds
12,Thompson,CA,55.7435,-97.8558,-18.56,98,34,5.75,scattered clouds
13,Vaini,TO,-21.2,-175.2,82.56,89,75,14.97,broken clouds
14,Aksarka,RU,66.5606,67.7975,-13.02,97,34,4.72,scattered clouds
15,Lebu,CL,-37.6167,-73.65,58.95,96,68,7.81,broken clouds
16,Saldanha,ZA,-33.0117,17.9442,63.5,97,50,11.3,scattered clouds
17,Qaanaaq,GL,77.484,-69.3632,1.29,57,0,7.23,clear sky
18,Takoradi,GH,4.8845,-1.7554,79.54,85,34,5.86,scattered clouds
19,Ushuaia,AR,-54.8,-68.3,44.26,70,0,9.22,clear sky
20,Punta Arenas,CL,-53.15,-70.9167,46.51,76,20,11.5,few clouds
21,San Quintin,MX,30.4833,-115.95,61.23,55,94,1.32,overcast clouds
22,Aklavik,CA,68.2191,-135.0107,-10.26,89,10,13.82,clear sky
23,Saint Anthony,US,45.0205,-93.218,33.42,75,20,3.44,few clouds
24,Northam,GB,51.0333,-4.2167,50.02,96,100,15.14,overcast clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,-4.94,85,3,15.93,clear sky
26,Atuona,PF,-9.8,-139.0333,78.98,74,34,16.58,scattered clouds
27,Kultuk,RU,51.7208,103.6956,26.64,76,68,1.92,broken clouds
28,Bluff,NZ,-46.6,168.3333,59.81,65,5,17.05,clear sky
29,Bethel,US,41.3712,-73.414,43.93,90,100,10.11,overcast clouds
30,Baryatino,RU,54.3121,34.521,12.96,95,50,2.1,scattered clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,77.56,92,98,3.0,overcast clouds
32,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.19,90,2,14.92,clear sky
33,Mar Del Plata,AR,-38.0023,-57.5575,68.09,86,92,8.01,overcast clouds
34,Riberalta,BO,-10.9833,-66.1,74.21,86,6,2.91,clear sky
35,Eureka,US,40.8021,-124.1637,56.01,87,100,3.31,overcast clouds
36,Muli,MV,2.9167,73.5667,83.03,69,31,13.82,scattered clouds
37,Gat,IL,31.61,34.7642,60.4,59,38,4.74,scattered clouds
38,Mataura,NZ,-46.1927,168.8643,59.49,32,5,4.03,clear sky
39,Ginda,IN,30.6945,78.4932,45.57,18,0,0.67,clear sky
40,Georgetown,MY,5.4112,100.3354,87.73,70,20,6.91,few clouds
41,Avera,US,33.194,-82.5271,54.72,51,0,6.73,clear sky
42,Westport,US,41.1415,-73.3579,45.55,91,100,3.44,overcast clouds
43,Torit,SS,4.4133,32.5678,78.67,47,66,3.2,broken clouds
44,Torbay,CA,47.6666,-52.7314,15.76,76,81,4.0,broken clouds
45,Busselton,AU,-33.65,115.3333,66.04,44,80,16.89,broken clouds
46,Norman Wells,CA,65.282,-126.8329,1.67,84,8,16.13,clear sky
47,Fukue,JP,32.6881,128.8419,48.09,61,54,21.99,broken clouds
48,Rocha,UY,-34.4833,-54.3333,57.61,73,0,6.87,clear sky
49,Namatanai,PG,-3.6667,152.4333,79.56,86,99,6.64,moderate rain
50,Castro,BR,-24.7911,-50.0119,65.43,98,100,4.63,overcast clouds
51,Port Alfred,ZA,-33.5906,26.891,72.27,92,52,13.62,broken clouds
52,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.95,99,81,1.72,broken clouds
53,Bredasdorp,ZA,-34.5322,20.0403,65.55,77,13,0.4,few clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,76.73,90,0,22.19,clear sky
55,Airai,TL,-8.9266,125.4092,74.98,57,76,4.85,broken clouds
56,Jamestown,US,42.097,-79.2353,34.52,59,100,10.36,overcast clouds
57,Dikson,RU,73.5069,80.5464,-15.02,98,100,8.5,overcast clouds
58,Port Hardy,CA,50.6996,-127.4199,47.75,93,75,6.91,broken clouds
59,Chauk,MM,20.8833,94.8167,85.06,21,4,10.74,clear sky
60,Kapaa,US,22.0752,-159.319,78.78,73,0,9.22,clear sky
61,Jumla,NP,29.2747,82.1838,49.55,36,0,1.63,clear sky
62,Butaritari,KI,3.0707,172.7902,81.82,77,72,11.56,broken clouds
63,Qaqortoq,GL,60.7167,-46.0333,36.1,64,100,4.23,light rain
64,Taltal,CL,-25.4,-70.4833,66.18,78,0,0.87,clear sky
65,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,32,0,23.02,clear sky
66,Hermanus,ZA,-34.4187,19.2345,67.89,76,48,6.31,scattered clouds
67,New Norfolk,AU,-42.7826,147.0587,72.9,60,99,3.0,overcast clouds
68,Arona,ES,28.0996,-16.681,57.51,70,20,10.36,few clouds
69,Khatanga,RU,71.9667,102.5,4.55,94,100,12.21,light snow
70,Guozhen,CN,34.3659,107.359,55.11,32,30,2.44,scattered clouds
71,Bambous Virieux,MU,-20.3428,57.7575,83.21,83,99,12.28,light rain
72,Gainesville,US,29.6516,-82.3248,55.09,79,0,0.0,clear sky
73,Klyuchi,RU,52.2667,79.1667,23.36,93,100,12.66,overcast clouds
74,Teruel,ES,40.6667,-0.6667,39.42,62,100,5.41,overcast clouds
75,Fortuna,US,40.5982,-124.1573,55.74,90,99,3.04,overcast clouds
76,Aiken,US,33.5835,-81.5998,55.11,75,0,0.0,clear sky
77,Cooma,AU,-36.2333,149.1333,64.17,82,75,11.5,light rain
78,Byron Bay,AU,-28.65,153.6167,84.31,74,39,11.05,scattered clouds
79,Hualmay,PE,-11.0964,-77.6139,71.82,83,100,7.38,overcast clouds
80,Cape Town,ZA,-33.9258,18.4232,69.28,81,87,12.82,overcast clouds
81,Honggang,CN,46.4667,124.8667,25.81,78,98,7.52,overcast clouds
82,Saskylakh,RU,71.9167,114.0833,-20.36,97,49,6.04,scattered clouds
83,Syracuse,IT,37.0881,15.2792,40.44,68,3,10.49,clear sky
84,Cidreira,BR,-30.1811,-50.2056,73.42,75,98,9.42,overcast clouds
85,Bell Ville,AR,-32.6259,-62.6887,65.66,37,0,8.84,clear sky
86,Avarua,CK,-21.2078,-159.775,82.45,83,40,10.36,scattered clouds
87,Nesna,NO,66.1967,13.0213,36.57,93,100,30.53,light rain
88,Conchagua,SV,13.3078,-87.8647,79.05,53,79,2.75,broken clouds
89,Sokoni,TZ,-6.4333,39.55,80.87,74,69,12.21,broken clouds
90,Alta Floresta,BR,-9.8756,-56.0861,71.15,98,100,2.59,overcast clouds
91,Tiksi,RU,71.6872,128.8694,-17.81,99,90,2.86,overcast clouds
92,Kaduqli,SD,11.0167,29.7167,74.08,17,0,6.31,clear sky
93,Imuris,MX,30.7833,-110.8667,60.73,21,60,2.15,broken clouds
94,Kattivakkam,IN,13.2167,80.3167,80.69,84,100,7.7,overcast clouds
95,Port Elizabeth,ZA,-33.918,25.5701,68.29,94,75,12.66,broken clouds
96,Mehamn,NO,71.0357,27.8492,33.75,75,0,19.57,clear sky
97,Grand Gaube,MU,-20.0064,57.6608,83.37,81,100,7.0,overcast clouds
98,Provideniya,RU,64.3833,-173.3,26.71,86,75,8.95,broken clouds
99,Serafimovskiy,RU,54.4241,53.7964,18.75,96,100,1.54,overcast clouds
100,Malakal,SS,9.5334,31.6605,82.18,44,75,4.0,broken clouds
101,Lagoa,PT,39.05,-27.9833,58.3,85,100,18.12,overcast clouds
102,Narrabri,AU,-30.3167,149.7833,87.53,47,36,1.99,scattered clouds
103,Bud,US,39.447,-86.1758,51.75,69,12,7.58,few clouds
104,Vung Tau,VN,10.346,107.0843,83.03,68,80,16.53,broken clouds
105,Trollhattan,SE,58.2333,12.4167,35.71,93,100,5.75,fog
106,Baykit,RU,61.67,96.37,21.56,90,100,6.04,overcast clouds
107,Coffs Harbour,AU,-30.3,153.1333,76.96,73,100,12.66,overcast clouds
108,College,US,64.8569,-147.8028,21.52,82,75,0.0,broken clouds
109,Ponta Do Sol,PT,32.6667,-17.1,65.07,73,15,2.73,few clouds
110,Esperance,AU,-33.8667,121.9,69.76,60,62,19.6,broken clouds
111,Brazzaville,CG,-4.2658,15.2832,70.27,94,99,1.81,overcast clouds
112,Waingapu,ID,-9.6567,120.2641,83.82,77,100,15.46,overcast clouds
113,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,87,100,13.0,overcast clouds
114,Saint-Pierre,RE,-21.3393,55.4781,80.28,69,14,5.75,few clouds
115,Buin,CL,-33.7333,-70.75,71.87,32,0,3.36,clear sky
116,Kaitangata,NZ,-46.2817,169.8464,56.93,58,2,7.87,clear sky
117,Walvis Bay,NA,-22.9575,14.5053,61.09,81,0,5.97,clear sky
118,Bonthe,SL,7.5264,-12.505,75.27,84,59,5.26,broken clouds
119,Privolzhskiy,RU,51.4,46.0333,32.07,81,100,6.64,overcast clouds
120,Americana,BR,-22.7392,-47.3314,74.41,100,94,0.38,overcast clouds
121,Luderitz,NA,-26.6481,15.1594,64.31,76,0,8.5,clear sky
122,Saint George,US,37.1041,-113.5841,58.78,29,0,0.0,clear sky
123,Dunedin,NZ,-45.8742,170.5036,57.79,52,0,10.0,clear sky
124,Kruisfontein,ZA,-34.0033,24.7314,65.88,91,35,8.23,scattered clouds
125,Pathein,MM,16.7833,94.7333,92.64,16,91,6.82,overcast clouds
126,Fortuna Foothills,US,32.6578,-114.4119,68.22,21,0,4.61,clear sky
127,Mahebourg,MU,-20.4081,57.7,82.26,83,98,12.48,light rain
128,Mecca,SA,21.4267,39.8261,74.17,64,0,2.21,clear sky
129,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,41,10.02,scattered clouds
130,San Rafael,AR,-34.6177,-68.3301,74.28,35,0,6.26,clear sky
131,Beira,MZ,-19.8436,34.8389,76.77,75,78,2.68,broken clouds
132,Komsomolskiy,UZ,40.4272,71.7189,49.42,61,51,4.61,broken clouds
133,Tautira,PF,-17.7333,-149.15,87.01,67,48,16.04,scattered clouds
134,Souillac,MU,-20.5167,57.5167,82.36,84,88,11.77,overcast clouds
135,Tazovskiy,RU,67.4667,78.7,2.28,92,100,18.41,overcast clouds
136,Atar,MR,20.5169,-13.0499,66.76,32,1,7.2,clear sky
137,Santa Fe,AR,-31.6333,-60.7,69.03,69,0,3.0,clear sky
138,Paamiut,GL,61.994,-49.6678,18.1,86,100,16.84,overcast clouds
139,Springbok,ZA,-29.6643,17.8865,53.69,91,0,1.39,clear sky
140,Kenai,US,60.5544,-151.2583,32.09,83,100,5.75,overcast clouds
141,Vanavara,RU,60.34,102.2797,23.58,91,100,9.64,light snow
142,Marawi,PH,7.9986,124.2928,72.64,60,99,7.87,overcast clouds
143,Sola,VU,-13.8833,167.55,80.65,75,100,8.63,moderate rain
144,Sao Filipe,CV,14.8961,-24.4956,69.51,66,6,16.53,clear sky
145,Margate,GB,51.3813,1.3862,44.31,94,100,3.0,light rain
146,Hastings,GB,50.8552,0.5729,45.91,94,100,14.0,light rain
147,Kaduna,NG,10.5222,7.4383,69.4,14,66,6.29,broken clouds
148,Masumbwe,TZ,-3.6333,32.1833,63.01,95,93,2.42,light rain
149,Canmore,CA,51.0834,-115.3521,32.25,97,83,4.25,light snow
150,Emerald,AU,-23.5333,148.1667,103.33,25,0,8.3,clear sky
151,Tasiilaq,GL,65.6145,-37.6368,26.42,62,100,40.87,overcast clouds
152,Victoria,HK,22.2855,114.1577,80.96,79,42,5.01,scattered clouds
153,Brae,GB,60.3964,-1.353,42.71,83,79,8.41,broken clouds
154,Aquiraz,BR,-3.9014,-38.3911,82.49,86,87,10.11,overcast clouds
155,San Patricio,US,28.017,-97.5169,57.88,81,3,6.87,clear sky
156,Cascais,PT,38.6979,-9.4215,54.52,66,5,13.0,clear sky
157,Havoysund,NO,70.9963,24.6622,36.48,70,100,16.4,light rain
158,Caravelas,BR,-17.7125,-39.2481,74.97,88,100,3.13,overcast clouds
159,Kahului,US,20.8947,-156.47,83.46,70,40,11.5,scattered clouds
160,Ballina,AU,-28.8667,153.5667,84.38,84,34,11.05,scattered clouds
161,Serebryansk,KZ,49.6925,83.2892,16.72,89,100,5.61,overcast clouds
162,East London,ZA,-33.0153,27.9116,73.47,89,69,15.3,broken clouds
163,Olpad,IN,21.3333,72.75,75.18,27,0,10.16,clear sky
164,Fort-Shevchenko,KZ,44.5086,50.263,45.48,74,100,8.77,overcast clouds
165,Ostrovnoy,RU,68.0531,39.5131,28.63,86,75,26.04,broken clouds
166,Elat,IL,29.5581,34.9482,63.23,49,100,7.02,overcast clouds
167,Kuzhithurai,IN,8.3167,77.1833,85.68,36,99,3.76,overcast clouds
168,Mount Gambier,AU,-37.8333,140.7667,81.82,47,57,4.79,broken clouds
169,Monroe,US,43.1501,-77.6831,36.45,91,100,6.91,mist
170,Cherskiy,RU,68.75,161.3,-7.74,94,26,4.0,scattered clouds
171,Carnarvon,AU,-24.8667,113.6333,82.47,39,16,28.77,few clouds
172,Ibirama,BR,-27.0569,-49.5178,77.31,99,98,1.81,overcast clouds
173,Vegreville,CA,53.5001,-112.0518,17.98,96,100,7.0,overcast clouds
174,Zhigansk,RU,66.7697,123.3711,-13.49,97,100,4.41,overcast clouds
175,San Andres,CO,12.5847,-81.7006,80.62,74,40,12.66,scattered clouds
176,Samarai,PG,-10.6167,150.6667,83.23,72,73,1.95,broken clouds
177,Kushmurun,KZ,52.4503,64.6311,6.13,100,87,2.33,overcast clouds
178,Tezu,IN,27.9167,96.1667,78.55,27,17,3.76,few clouds
179,Nacala,MZ,-14.5428,40.6728,72.36,94,57,6.62,broken clouds
180,Nemsova,SK,48.967,18.1189,30.96,60,77,3.6,broken clouds
181,Ancud,CL,-41.8697,-73.8203,58.23,91,82,5.99,light rain
182,Henties Bay,NA,-22.116,14.2845,60.85,87,0,4.83,clear sky
183,Maine-Soroa,NE,13.2114,12.0241,67.89,8,6,7.94,clear sky
184,Salalah,OM,17.0151,54.0924,69.89,49,0,3.44,clear sky
185,Kodiak,US,57.79,-152.4072,33.31,75,20,4.61,few clouds
186,Lavrentiya,RU,65.5833,-171.0,13.68,98,88,2.98,overcast clouds
187,Broome,US,42.2506,-75.833,39.7,74,100,8.99,overcast clouds
188,Banjar,ID,-8.19,114.9675,87.66,72,100,6.71,overcast clouds
189,Mackay,AU,-21.15,149.2,97.68,74,79,16.53,broken clouds
190,Hobart,AU,-42.8794,147.3294,73.26,65,40,13.8,scattered clouds
191,Bathsheba,BB,13.2167,-59.5167,77.61,78,40,14.97,scattered clouds
192,San Cristobal,VE,7.7669,-72.225,69.98,74,77,2.28,broken clouds
193,Glencoe,ZA,-28.1783,30.147,58.59,97,33,2.19,scattered clouds
194,Lompoc,US,34.6391,-120.4579,64.13,78,0,3.44,clear sky
195,Nabire,ID,-3.3667,135.4833,87.21,64,24,7.16,few clouds
196,Gryazovets,RU,58.88,40.2525,15.66,93,24,6.17,few clouds
197,Nikolskoye,RU,59.7035,30.7861,28.29,89,5,5.84,clear sky
198,Hithadhoo,MV,-0.6,73.0833,83.84,70,92,14.32,overcast clouds
199,Nome,US,64.5011,-165.4064,15.87,73,0,0.0,clear sky
200,Barrow,US,71.2906,-156.7887,6.82,78,100,3.44,light snow
201,Cotonou,BJ,6.3654,2.4183,80.69,83,83,10.58,broken clouds
202,Kikwit,CD,-5.041,18.8162,67.01,96,100,2.71,overcast clouds
