City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,-97.8558,-12.84,64,0,13.8,CA,2022-02-16 22:52:46
1,Bredasdorp,-34.5322,20.0403,58.32,77,96,3.44,ZA,2022-02-16 22:52:46
2,Ossora,59.2353,163.0719,5.04,93,100,7.31,RU,2022-02-16 22:52:46
3,Mwinilunga,-11.7358,24.4293,62.69,99,100,3.78,ZM,2022-02-16 22:52:47
4,Paamiut,61.994,-49.6678,4.86,74,100,18.9,GL,2022-02-16 22:52:47
5,Egvekinot,66.3167,-179.1667,-11.34,89,11,11.83,RU,2022-02-16 22:52:47
6,Worthington,40.0931,-83.018,59.05,57,100,12.66,US,2022-02-16 22:49:05
7,Vaini,-21.2,-175.2,86.16,79,20,6.91,TO,2022-02-16 22:52:48
8,Victoria,22.2855,114.1577,61.25,90,99,15.01,HK,2022-02-16 22:52:48
9,Magaria,12.9983,8.9099,74.14,13,0,8.39,NE,2022-02-16 22:52:49
10,Hermanus,-34.4187,19.2345,62.91,69,0,12.5,ZA,2022-02-16 22:52:49
11,East London,-33.0153,27.9116,68.88,74,55,15.01,ZA,2022-02-16 22:52:50
12,Busselton,-33.65,115.3333,62.04,71,0,12.1,AU,2022-02-16 22:52:50
13,Olafsvik,64.8945,-23.7142,30.94,90,100,13.6,IS,2022-02-16 22:52:51
14,Nyuksenitsa,60.4128,44.2397,29.37,94,100,9.44,RU,2022-02-16 22:52:51
15,Vila Franca Do Campo,37.7167,-25.4333,62.2,88,88,9.95,PT,2022-02-16 22:52:51
16,Clyde River,70.4692,-68.5914,-30.77,68,0,4.61,CA,2022-02-16 22:52:52
17,Sao Borja,-28.6606,-56.0044,83.95,16,0,7.0,BR,2022-02-16 22:52:52
18,Matli,25.0431,68.6557,68.05,46,0,7.58,PK,2022-02-16 22:52:53
19,Puerto Ayora,-0.7393,-90.3518,84.16,72,84,7.72,EC,2022-02-16 22:52:53
20,Albany,42.6001,-73.9662,40.98,57,94,5.01,US,2022-02-16 22:49:59
21,Saint-Philippe,-21.3585,55.7679,78.39,81,45,11.97,RE,2022-02-16 22:52:54
22,Cidreira,-30.1811,-50.2056,73.83,79,0,15.52,BR,2022-02-16 22:52:54
23,Castro,-24.7911,-50.0119,63.21,82,89,4.05,BR,2022-02-16 22:52:54
24,Ushuaia,-54.8,-68.3,53.26,50,100,14.97,AR,2022-02-16 22:51:00
25,Cape Town,-33.9258,18.4232,65.26,63,0,21.85,ZA,2022-02-16 22:49:36
26,New Norfolk,-42.7826,147.0587,67.5,52,81,5.01,AU,2022-02-16 22:52:55
27,Touros,-5.1989,-35.4608,83.3,73,47,9.4,BR,2022-02-16 22:52:55
28,Atkinson,42.8384,-71.147,40.37,69,20,11.5,US,2022-02-16 22:52:56
29,Riyadh,24.6877,46.7219,59.14,22,0,10.02,SA,2022-02-16 22:50:42
30,Gdansk,54.3521,18.6464,48.15,90,75,19.57,PL,2022-02-16 22:49:06
31,Huarmey,-10.0681,-78.1522,73.71,76,91,10.18,PE,2022-02-16 22:52:57
32,Haines Junction,60.7522,-137.5108,33.75,64,100,8.05,CA,2022-02-16 22:52:57
33,Port Hardy,50.6996,-127.4199,48.38,71,20,14.97,CA,2022-02-16 22:52:57
34,Veendam,53.1067,6.8792,52.18,76,100,30.42,NL,2022-02-16 22:52:58
35,Kilindoni,-7.9139,39.6668,80.73,77,30,3.96,TZ,2022-02-16 22:52:58
36,Phenix City,32.471,-85.0008,73.54,44,0,11.5,US,2022-02-16 22:52:59
37,Fortuna,40.5982,-124.1573,59.41,72,40,14.97,US,2022-02-16 22:52:59
38,Outjo,-20.1167,16.15,69.73,75,82,7.31,NA,2022-02-16 22:52:59
39,Pevek,69.7008,170.3133,-28.71,99,100,6.55,RU,2022-02-16 22:53:00
40,Kloulklubed,7.0419,134.2556,81.68,82,100,20.02,PW,2022-02-16 22:53:00
41,Punta Arenas,-53.15,-70.9167,57.31,51,40,31.07,CL,2022-02-16 22:50:56
42,North Las Vegas,36.1989,-115.1175,66.18,17,0,14.97,US,2022-02-16 22:53:01
43,Rikitea,-23.1203,-134.9692,77.83,73,10,13.24,PF,2022-02-16 22:53:01
44,Labuhan,-6.8844,112.2051,76.24,92,86,5.03,ID,2022-02-16 22:54:01
45,Los Llanos De Aridane,28.6585,-17.9182,60.55,76,75,15.01,ES,2022-02-16 22:54:02
46,Banda Aceh,5.5577,95.3222,78.42,79,100,6.42,ID,2022-02-16 22:54:02
47,Paita,-5.0892,-81.1144,79.36,73,92,19.55,PE,2022-02-16 22:54:04
48,Estacion Coahuila,32.1939,-115.0017,74.97,19,0,7.11,MX,2022-02-16 22:54:04
49,Sept-Iles,50.2001,-66.3821,13.05,90,100,24.16,CA,2022-02-16 22:50:13
50,Sulangan,11.1373,123.7228,79.27,73,55,11.25,PH,2022-02-16 22:54:05
51,Palmer,42.1584,-72.3287,40.69,75,100,11.5,US,2022-02-16 22:54:05
52,Tiksi,71.6872,128.8694,-25.08,100,77,0.49,RU,2022-02-16 22:54:06
53,Yellowknife,62.456,-114.3525,-16.71,76,0,2.3,CA,2022-02-16 22:54:06
54,Vanimo,-2.6741,141.3028,78.69,89,100,6.46,PG,2022-02-16 22:54:07
55,Bulolo,-7.2,146.65,79.12,77,96,1.57,PG,2022-02-16 22:54:07
56,Lorengau,-2.0226,147.2712,82.92,69,100,3.51,PG,2022-02-16 22:54:07
57,Teya,60.3778,92.6267,6.13,96,100,4.54,RU,2022-02-16 22:54:08
58,Arraial Do Cabo,-22.9661,-42.0278,76.96,73,75,3.44,BR,2022-02-16 22:54:08
59,Los Alamos,35.8881,-106.307,46.96,45,100,5.01,US,2022-02-16 22:52:01
60,Wajir,1.7471,40.0573,79.29,60,4,15.99,KE,2022-02-16 22:54:09
61,Pangnirtung,66.1451,-65.7125,-31.0,68,20,2.3,CA,2022-02-16 22:54:09
62,Portland,45.5234,-122.6762,53.64,80,75,3.44,US,2022-02-16 22:49:35
63,Olinda,-8.0089,-34.8553,82.13,74,0,8.05,BR,2022-02-16 22:54:10
64,Owando,-0.4819,15.8999,72.45,88,91,4.38,CG,2022-02-16 22:54:10
65,Dongfeng,42.6403,125.5118,1.09,98,98,3.27,CN,2022-02-16 22:54:10
66,Mitsamiouli,-11.3847,43.2844,81.45,73,40,3.58,KM,2022-02-16 22:54:11
67,Drayton Valley,53.2168,-114.9854,10.9,91,100,4.85,CA,2022-02-16 22:54:11
68,Ahuimanu,21.4447,-157.8378,79.79,66,20,4.0,US,2022-02-16 22:54:12
69,Dikson,73.5069,80.5464,-26.0,100,86,2.84,RU,2022-02-16 22:54:12
70,Ayorou,14.7308,0.9174,81.48,10,55,9.78,NE,2022-02-16 22:54:12
71,Birjand,32.8663,59.2211,32.47,51,0,11.5,IR,2022-02-16 22:54:13
72,Kavaratti,10.5669,72.642,79.81,71,14,9.44,IN,2022-02-16 22:54:13
73,Bathsheba,13.2167,-59.5167,77.61,73,75,27.63,BB,2022-02-16 22:54:14
74,Mataura,-46.1927,168.8643,70.48,49,26,3.29,NZ,2022-02-16 22:54:14
75,Souillac,-20.5167,57.5167,79.18,83,40,9.22,MU,2022-02-16 22:54:14
76,Port Alfred,-33.5906,26.891,66.85,77,21,16.4,ZA,2022-02-16 22:54:15
77,Leningradskiy,69.3833,178.4167,-22.88,98,74,5.06,RU,2022-02-16 22:54:15
78,Suruc,36.9761,38.425,43.0,62,5,7.18,TR,2022-02-16 22:54:16
79,Williams Lake,52.1415,-122.1445,40.57,52,20,2.3,CA,2022-02-16 22:50:04
80,Necochea,-38.5473,-58.7368,65.03,71,80,18.79,AR,2022-02-16 22:54:16
81,Sakaiminato,35.55,133.2333,28.38,93,75,12.66,JP,2022-02-16 22:54:17
82,San Carlos De Bariloche,-41.1456,-71.3082,71.35,30,0,20.71,AR,2022-02-16 22:54:17
83,Saskylakh,71.9167,114.0833,-27.09,99,62,7.7,RU,2022-02-16 22:54:17
84,Torbay,47.6666,-52.7314,14.58,69,20,23.02,CA,2022-02-16 22:54:18
85,Broome,42.2506,-75.833,42.84,66,100,11.99,US,2022-02-16 22:54:18
86,Cabangahan,9.0781,122.9469,77.79,80,82,12.21,PH,2022-02-16 22:54:19
87,Anchorage,61.2181,-149.9003,39.67,91,100,8.05,US,2022-02-16 22:51:13
88,Bluff,-46.6,168.3333,70.81,60,18,3.47,NZ,2022-02-16 22:54:19
89,Podsineye,53.6658,91.5364,-9.4,84,81,0.0,RU,2022-02-16 22:54:20
90,Cavalcante,-13.7975,-47.4583,70.59,91,92,0.83,BR,2022-02-16 22:54:20
91,Nokaneng,-19.6667,22.2667,71.04,44,0,6.53,BW,2022-02-16 22:55:21
92,Hilo,19.7297,-155.09,79.11,76,0,5.01,US,2022-02-16 22:55:21
